ENGLISH SENTENCES	ARABIC SENTENCES	BANGLA SENTENCES	CHINESE SENTENCES	FRENCH SENTENCES	HATIAN CREOLE SENTENCE	MALAY SENTENCES	B_PORTUGUESE SENTENCES	RUSSIAN SENTENCES	SPANISH SENTENCES	SWAHILI  SENTENCES	TAMIL SENTENCES	THAI SENTENCES	URDU SENTENCE
I got stuck behind a truck.	لـقـد عَـلِـقـتُ خـلـف الـشـاحـنـة.	আমি ট্রাকের পেছনে আটকে গেলাম	我被困在一辆卡车后面了。	Je suis resté coincé derrière un camion.	Mwen rete kwense dèryè yon kamyon.	Saya tersekat di belakang sebuah lori.	Fiquei preso atrás de um caminhão.	Я застрял за грузовиком.	Me quedé atascado detrás de un camión.	Ndege iko juu angani	நான் ஒரு டிரக்கின் பின்னால் சிக்கிக் கொண்டேன்.	เครื่องบินสูงในท้องฟ้า	میں ایک ٹرک کے پیچھے پھنس گیا۔
The plane is high in the sky.	الـطـائـرة مُـحـلـِـقـة عـالـيـًا فـى الـسـمـاء.	উড়োজাহাজ আকাশের অনেক উপরে	那架飞机在高空上。	L'avion est haut dans le ciel.	Avyon an wo nan syèl la.	Pesawat tinggi di langit.	O avião está no alto do céu.	Самолет высоко в небе.	El avión está en lo alto del cielo.	Washa taa	விமானம் வானில் உயரத்தில் பறக்கிறது.	เปิดไฟ	طیارہ آسمان میں اونچا ہے۔
Turn on the light.	أشـعـل الإنـارة.	আলো জ্বালাও	把灯打开。	Allumez la lumière.	Limen limyè a.	Menghidupkan lampu.	Acenda a luz.	Включи свет.	Enciende la luz.	Unaweza ukaipenda	விளக்கை ஏற்றவும்.	คุณอาจจะชอบมัน	روشنی چالو کر دیں۔ 
You might like it.	يـُحـتـمـل أن تـنـال إعـجـابـك.	তুমি এটা পছন্দ করতে পারো	你也许会喜欢它。	Ça pourrait te plaire.	Ou ta ka renmen l'.	Anda mungkin menyukainya.	Você pode gostar.	Тебе это может понравиться.	Te podría gustar.	Kuna giza usiku	உங்களுக்கு இது பிடிக்கலாம்.	มันมืดในเวลากลางคืน	شاید آپ اسے پسند کریں۔
It is dark at night.	إنهُ مـُـظـلِـم فـى الـلـيـل.	এখন অন্ধকার	夜里很黑。	Il fait sombre la nuit.	Li fènwa lannwit.	Ia gelap pada waktu malam.	Está escuro à noite.	Ночью темно.	Por la noche oscurece.	Uko sawa / Upo sawa	இரவில் இருளாக இருக்கும்.	คุณพูดถูก	رات کو اندھیرا ہو گیا ہے۔
You are right.	إنـكَ عـلـى حـق.	তুমি ঠিক	你是对得。	Vous avez raison.	Ou gen rezon.	Anda betul.	Você está certo.	Ты прав.	Tienes razón.	Simu yangu ni ya zamani	நீங்கள் சொல்வது சரி.	โทรศัพท์ของฉันเก่า	آپ صحیح ہیں۔
My phone is old.	إن هـاتـفـي الـخُـلـوي قـديـم.	আমার ফোন পুরনো	我的手机很老。	Mon téléphone est vieux.	Telefòn mwen an ansyen.	Telefon saya sudah lama.	Meu telefone está velho.	Мой телефон старый.	Mi teléfono es viejo.	Nahisi baridi	என் தொலைபேசி பழையது.	ฉันหนาวมาก	میرا فون پرُانا ہے۔
I am so cold.	أنـا أشـعـر بـالبـرد لـلـغـايـة.	আমি খুব ঠান্ডা	我非常冷。	J'ai si froid.	Mwen frèt anpil.	Saya sangat sejuk.	Estou com tanto frio.	Мне так холодно.	Tengo mucho frío.	Shikilia mkono wangu	எனக்கு மிகவும் குளிராக உள்ளது.	จับมือฉันไว้	میں بہت سرد ہو گیا ہوں۔ 
Hold onto my hand.	تـمـسـك بـيـدي.	আমার হাতে হাত ধরো	抓住我的手。	Tiens-toi à ma main.	Kenbe men m'.	Pegang tangan saya.	Segure minha mão.	Держись за мою руку.	No te sueltes de mi mano.	Aliniambia pa kwenda	என் கைகளை பிடித்து கொள்ளுங்கள்.	เขาบอกฉันว่าจะไปที่ไหน	میرا ہاتھ تھام لو۔
He told me where to go.	إنـهُ أخـبـرنـي إلـى أيـن أذهـب.	সে আমাকে বলল কোথায় যেতে হবে	他告诉了我要去哪里。	Il m'a dit où aller.	Li te di m' kote l' ale.	Dia memberitahu saya ke mana hendak pergi.	Ele me disse para onde ir.	Он сказал мне, куда идти.	Él me dijo adónde ir.	Sijawahi ona zaidi	எங்கு செல்ல வேண்டும் என்று அவர் என்னிடம் கூறினார்.	นั่นคือสิ่งที่ฉันเคยเห็นมากที่สุด	اس نے مجھے بتایا کہ کہاں جانا ہے۔
That’s the most I’ve ever seen.	هـذا  أكـثـر مـا رأيـتـهُ مـن أي وقـتٍ مـضـى.	আমি সবচেয়ে বেশি দেখেছি	这是我所见过最多的。	C'est le plus que j'ai vu.	Se plis sa a m' pa t' janm wè.	Itulah yang paling saya pernah lihat	É o máximo que já vi.	Это самое большее, что я когда-либо видел.	Eso es lo máximo que he visto.	Sote tupo hapa	நான் பார்த்ததிலேயே அது தான் அதிகம்.	เราทุกคนอยู่ที่นี่	یہ زیادہ سے زیادہ ہے جو میں نے کبھی بھی دیکھا۔
We are all here.	نـحـن جـمـيـعـًا هـنـا.	আমরা সবাই এখানে	我们都在这里。	Nous sommes tous ici.	Nou tout la.	Kita semua ada di sini.	Estamos todos aqui.	Мы все здесь.	Aquí estamos todos.	Rusha mpira	நாங்கள் அனைவரும் இங்கே இருக்கிறோம்.	โยนลูกบอล	ہم سب یہاں ہیں۔
Throw the ball.	إرمـي الـكـرة.	বলটি নিক্ষেপ করো	扔球。	Lance la balle.	Lanse balon  an.	Baling bola itu.	Jogue a bola.	Бросить мяч.	Lanza la bola.	Nipigie kesho	பந்தை தூக்கி எறியுங்கள்.	โทรหาฉันพรุ่งนี้	گیند پھینکیں
Call me tomorrow.	إتـصـل بـي غـدًا.	আমাকে কাল কল করো	明天打电话给我。	Appelle-moi demain.	Rele m' demen.	Telefon saya esok.	Me ligue amanhã.	Позвони мне завтра.	Llámame mañana.	Hii pipi ni ndogo	நாளை என்னை அழையுங்கள்.	ลูกกวาดแท่งนี้มีขนาดเล็ก	مجھے کل کال کریں۔
This candy bar is small.	إن لـوح الـحـلـوى تـلـك صـغـيـرًا.	ক্যান্ডি টি ছোট	这个糖果棒很小。	Cette barre de chocolat est petite.	Bar chokola sa a piti.	Bar gula-gula ini kecil.	Esta barra de chocolate é pequena.	Этот моноблок небольшой.	Este chocolate es pequeño.	Tunaweza kuongea kesho	இந்த மிட்டாய் சிறியது.	เราคุยกันพรุ่งนี้ได้	یہ کینڈی بار چھوٹی ہے۔
We can talk tomorrow.	يُـمـكـنـنـا الـتـحـدث غـدًا. 	আমরা কাল কথা বলতে পারি	我们可以明天聊。	On peut parler demain.	Nou ka pale demen.	Kita boleh bercakap esok.	Podemos conversar amanhã.	Мы можем поговорить завтра.	Podemos hablar mañana.	Mimi pia nina baiskeli	நாம் நாளை பேசலாம்.	ฉันยังมีจักรยาน	ہم کل بات کر سکتے ہیں۔
I also have a bike.	أنـا أيـضـًا لـدي دراجـة.	আমারও একটি বাইক আছে	我也有一辆自行车。	J'ai aussi un vélo.	Mwen gen yon bekan tou.	Saya juga mempunyai basikal.	Eu também tenho uma bicicleta.	Еще у меня есть велосипед.	Yo también tengo una bicicleta.	Kidogo nipate ajali	என்னிடம் ஒரு பைக்கும் உள்ளது.	ฉันเกือบจะล้มเหลว	میرے پاس موٹر سائیکل بھی ہے۔
I almost crashed.	كـدتُ أن أصـطــدم.	আমি প্রায়ই ক্র্যাশ করেছি	我差点撞车了。	J'ai failli avoir un accident.	Mwen manke kraze.	Saya hampir terhempas.	Quase caí.	Я чуть не разбился.	Casi me estrello.	Nipo makini siku zote	நான் கிட்டத்தட்ட மோதிவிட்டேன்.	ฉันระวังอยู่เสมอ	میں تقریبا حادثہ کا شکار ہو گیا۔
I am always careful.	أنـا حـذِر دائـمـًا.	আমি সর্বদা সাবধানে	我总是很小心。	Je suis toujours prudent.	Mwen toujou  pridan.	Saya sentiasa berhati-hati.	Eu sou sempre cuidadoso.	Я всегда осторожен.	Yo siempre tengo cuidado.	Ni njia ndefu sana kupita	நான் எப்போதும் கவனமாக இருப்பேன்.	มันเป็นทางยาวไป	میں ہمیشہ محتاط رہتا / رہتی ہوں۔
It is a long way to go.	إنـهُ طــريـقٌ طـويـل لـنـقـطـعـهُ. 	অনেক দূর পর্যন্ত যেতে হবে	有很长的路要走。	C'est un long chemin à parcourir.	Chemen sa long pou ale.	Jauh sekali.	É um longo caminho a percorrer.	Это долгий путь.	Falta mucho para llegar.	Lazima uwe na nguvu kuifanya	இது ஒரு நீண்ட வழி.	คุณต้องแข็งแกร่งที่จะทำ	یہ جانے کے لئے ایک طویل راستہ ہے۔
You must be strong to do it.	يـجـب أن تـكـون قـوي لـتـفـعـلـهـا.	এটা করার জন্য তোমাকে অনেক শক্তিশালী হতে হবে	你必须要坚强地去做。	Il faut être fort pour le faire.	Ou dwe fò pou w' fè sa.	Anda mesti kuat untuk melakukannya.	Você deve ser forte para fazê-lo.	Для этого нужно быть сильным.	Debes ser fuerte para hacerlo.	Ninahitaji viti vichache	அதை செய்ய நீங்கள் வலுவாக இருக்க வேண்டும்.	ฉันต้องการเก้าอี้สองสามตัว	ایسا کرنے کے لیے آپ کو مضبوط ہونا چاہیے۔
I need a few chairs.	أُريـد بـعـضٍ مـن الـكـراسـي.	আমার কয়েকটা চেয়ার দরকার	我需要几把椅子。	J'ai besoin de quelques chaises.	Mwen bezwen kèk chèz.	Saya memerlukan beberapa kerusi.	Preciso de algumas cadeiras.	Мне нужно несколько стульев.	Necesito algunas sillas.	Hiki hapa ni kipya	எனக்கு ஒரு சில நாற்காலிகள் தேவை.	อันนี้เป็นของใหม่	مجھے چند کرسیاں درکار ہیں۔
This one is new.	هـذهِ جـديـدة.	এইটা নতুন	这一个是新的。	Celle-ci est neuve.	Sa a nouvèl.	Yang ini baru.	Este é novo.	Этот новый.	Esta es nueva.	Nadhani nitaipata	இது புதிய ஒன்று.	ฉันคิดว่าฉันจะได้รับ	یہ نیا ہے۔
I think I’ll get it.	أعـتـقـد أنـنـي سـوف أحـصـل عـلـيهـا.	আমি মনে করি আমি এটা বুঝবো	我觉得我会得到它。	Je pense que je vais la prendre.	Mwen panse m' ap genyen l'.	Saya rasa saya akan mendapatkannya.	Acho que vou conseguir.	Думаю, я пойму.	Creo que lo conseguiré.	Niletee kiti kingine	நான் அதை அடைவேன் என்று நினைக்கிறேன்.	นำเก้าอี้อีกตัวมาให้ฉัน	میرا خیال ہے کہ میں اسے حاصل کر لوں گا۔
Bring me another chair.	أجـلـب لـي كُـرسـي آخـر.	আমাকে আর একটি চেয়ার এনে দাও	再拿一把椅子给我。	Apportez-moi une autre chaise.	Pote yon lòt chèz pou mwen.	Bawa saya kerusi lain.	Traga-me outra cadeira.	Принеси мне другой стул.	Tráiganme una silla más.	Hicho ni nini?	மற்றொரு நாற்காலியை என்னிடம் கொண்டு வாருங்கள்.	สิ่งนั้นคืออะไร?	میرے لیے ایک اور کرسی لائیں۔
What is that thing?	مـا هـذا الـشـىء.	ওই জিনিসটা কি?	那个东西是什么？	C'est quoi, ce truc ?	Ki bagay sa a?	Apa benda itu?	O que é essa coisa?	Что это такое?	¿Qué cosa es esa?	Ninahitaji kamba ndefu zaidi	அது என்ன பொருள்?	ฉันต้องการเชือกอีกต่อไป	وہ  کیا چیز ہے؟
I need a longer rope.	أحـتـاج إلـى حـبـل أطـول.	আমার একটি লম্বা দরি আছে	我需要一个更长的绳子。	J'ai besoin d'une corde plus longue.	Mwen bezwen yon kòd kipi long.	Saya memerlukan tali yang lebih panjang.	Preciso de uma corda mais longa.	Мне нужна более длинная веревка.	Necesito una soga más larga.	Ninaitumia kwa sasa	எனக்கு ஒரு நீண்ட கயிறு தேவை.	ฉันใช้มันตอนนี้	مجھے ایک لمبی رسی چاہیے۔
I am using it now.	أنـا أسـتـخـدمـهُ الآن.	আমি এটা ব্যবহার করছি	我正在使用它。	Je m'en sers maintenant.	M'ap itilize li kounye a.	Saya menggunakannya sekarang.	Estou usando agora.	Я им пользуюсь сейчас.	La tengo en uso ahora.	Unafurahisha	நான் இப்போது அதை பயன்படுத்திக் கொண்டிருக்கிறேன்.	คุณเป็นคนตลก	میں اسے اب استعمال کر رہا ہوں۔
You are being funny.	إنـكً حـقـًا مُـضـحـك.	তুমি মজার	你在开玩笑。	Tu es drôle.	Ou dwòl.	Anda menjadi lucu.	Você está sendo engraçado.	Ты шутишь.	Te haces el gracioso.	Naenda kwenye stoo	நீங்கள் வேடிக்கையாக நடந்து கொள்கிறீர்கள்.	ฉันกำลังจะไปร้านค้า	تم مضحکہ خیز ہو رہے ہو۔
I am going to the store.	إنـنـي ذاهـب إلـى الـمـتـجـر.	আমি দোকানে যাচ্ছি	我准备去商店。	Je vais au magasin.	Mwen prale nan boutik la.	Saya akan pergi ke kedai.	Estou indo para a loja.	Я иду в магазин.	Voy a la tienda.	Ninaishi kwenye mji	நான் கடைக்கு போகிறேன்.	ฉันอาศัยอยู่ในเมือง	میں دوکان جا رہا / رہی ہوں۔
I am living in the city.	أنـا أعـيـشُ فـى الـمـديـنـة.	আমি শহরে বাস করি	我现在住在城市里。	Je vis en ville.	M'ap viv nan vil la.	Saya tinggal di bandar.	Estou morando na cidade.	Я живу в городе.	Yo vivo en la ciudad.	Usiandike meseji wakati darasa linaendelea	நான் நகரத்தில் வசிக்கிறேன்.	อย่าส่งข้อความระหว่างเรียน	میں شہر میں رہ رہا / رہی ہوں۔
Don’t text during class.	لا تـرسـل رسـائـل نـصـيـة أثـنـاء الـحـصـة.	ক্লাস চলাকালীন বার্তা দিওনা	上课不要发短信。	N'envoie pas de SMS pendant le cours.	Pa tchat pandan gen klas.	Jangan menghantar teks semasa kelas.	Não mande sms durante a aula.	Не переписывайся во время урока.	No envíen textos durante la clase.	Ninatengeneza chakula cha jioni	வகுப்பு நடக்கும்பொழுது குறுஞ்செய்தி அனுப்ப வேண்டாம்.	ฉันกำลังทำอาหารเย็น	جماعت کے دوران پیغام مت بھیجیں۔
I am making dinner.	إنـنـي أُحـضـر الـعـشـاء.	আমি রাতের খাবার তৈরি করছি	我正在做晚饭。	Je prépare le dîner.	M'ap prepare dine a.	Saya membuat makan malam.	Estou fazendo o jantar.	Я готовлю ужин.	Estoy preparando la comida.	Hili neno lina maanisha nini?	நான் இரவு உணவு தயார் செய்து கொண்டிருக்கிறேன்.	ความหมายของคำนี้คืออะไร?	میں رات کا کھانا بنا رہا / رہی ہوں۔
What is the meaning of this word?	مـاذا تـعـنـي هـذه الـكـلـمـة؟	এই শব্দটির মানে কি?	这个单词的意思是什么？	Quel est le sens de ce mot ?	Ki siyifikasyon mo sa a?	Apakah maksud perkataan ini?	Qual é o significado dessa palavra?	Что означает это слово?	¿Qué significa esta palabra?	Natafuta jibu	இந்த வார்த்தையின் அர்த்தம் என்ன?	ฉันกำลังมองหาคำตอบ	اس لفظ کا کیا مطلب ہے؟
I am looking for the answer.	إنـنـي أبـحـثُ عـن الإجـابـة.	আমি উত্তরগুলো খুজতেছি	我正在寻找答案。	Je cherche la réponse.	M'ap chache repons lan.	Saya mencari jawapannya.	Estou procurando a resposta.	Ищу ответ.	Estoy buscando la respuesta.	Nilikula asubuhi hii	நான் பதில் தேடிக்கொண்டிருக்கிறேன்.	ฉันกินมันเมื่อเช้านี้	میں جواب کی تلاش میں ہوں۔
I ate it this morning.	لـقـد أكـلـتـهـا هـذا الـصـبـاح.	আমি সকালে এইটা খেয়েছি	我今早把它吃了。	Je l'ai mangé ce matin.	Mwen te manje sa maten an.	Saya memakannya pagi ini.	Eu comi esta manhã.	Я съел это сегодня утром.	Me lo comí esta mañana.	Anza mwanzo	நான் இதை இன்று காலை சாப்பிட்டேன்.	เริ่มจากจุดเริ่มต้น	میں نے  آج صبح اسے کھایا۔
Start from the beginning.	أبدء مـن الـبـدايـة.	শুরু থেকে শুরু করো	从头开始。	Commencez par le début.	Kòmanse nan kòmansman an.	Bermula dari awal.	Comece do início.	Начни с самого начала.	Empieza desde el inicio.	(Dada/ binti / mwanamke / msichana) ananifuata	ஆரம்பத்தில் இருந்து துவங்குங்கள்.	เธอกำลังติดตามฉัน	آغاز سے شروع کریں۔
She is following me.	إنـهـا تـتـبـعـنـي.	সে আমার পেছনে আসছে	她在跟着我。	Elle me suit.	L'ap swiv mwen.	Dia mengekori saya.	Ela está me seguindo.	Она преследует меня.	Ella me está siguiendo.	Ninachukua kila kitu	அவள் என்னை பின்தொடர்கிறாள்.	ฉันกำลังทำทุกอย่าง	وہ میرا پیچھا کر رہی ہے۔
I am taking everything.	إنـنـي أخُـذ كـل شـىء.	আমি সবগুলো নিচ্ছি	我要把一切都拿走。	Je prends tout.	M'ap pran tout bagay.	Saya mengambil segalanya.	Estou levando tudo.	Беру все.	Estoy revelando todo.	Hawa ni rafiki zangu	நான் எல்லாவற்றையும் எடுத்துக்கொள்கிறேன்.	นี่คือเพื่อนของฉัน	میں سب کچھ لے رہا / رہی ہوں۔
These are my friends.	هـؤلاء أصـدقـائـي.	এগুলো আমার বন্ধু	这些是我的朋友。	Ce sont mes amis.	Yo se zanmi m'.	Ini adalah kawan saya.	Estes são meus amigos.	Это мои друзья.	Estos son mis amigos.	Nahitaji kipande cha mkanda	இவை என் நண்பர்கள்.	ฉันต้องการเทปหนึ่งชิ้น	یہ میرے دوست ہیں۔
I need a piece of tape.	أحــتـاج قـطـعـة مـن الـشـريـط اللاصـق.	সময়ের এক টুকরো ফিতা লাগবে	我需要一点胶带。	J'ai besoin d'un morceau de ruban adhésif.	Mwen bezwen yon riban adezif.	Saya memerlukan sehelai pita.	Preciso de um pedaço de fita.	Мне нужен кусок ленты.	Necesito cinta adhesiva.	Nipe chochote / yoyote	எனக்கு டேப் ஒரு துண்டு வேண்டும்.	ให้ฉันอย่างใดอย่างหนึ่ง	مجھے ٹیپ کا ایک ٹکڑا چاہیے۔
Give me either one.	أعـطـنـي أحـدهـمـا.	অন্তত একটা দাও	给我其中一个。	Donnez-moi l'un ou l'autre.	Ban m' youn oubyen lòt.	Beri saya salah satu.	Dê-me qualquer um.	Дайте мне любой.	Dame cualquiera.	Ni mtoto wao (wa kiume)	இரண்டில் ஒன்றை எனக்கு கொடுங்கள்.	เขาเป็นลูกของพวกเขา	مجھے کوئی ایک دیں۔
He is their child.	إنـهُ طـفـلـهـم.	সে তাদের সন্তান	它是他们的孩子。	C'est leur enfant.	Li se pitit yo.	Dia adalah anak mereka.	Ele é filho deles.	Он их ребенок.	Él es hijo de ellos.	Hii ndio hadithi	அவன் அவர்களின் குழந்தை.	นี่คือเรื่องราว	وہ اُن کا بچہ ہے۔
This is the story.	هـذه قـصـة.	এইটা আমার গল্প	故事是这样的。	Voici l'histoire.	Sa se istwa a.	Inilah kisahnya.	Esta é a história.	Это история.	Esta es la historia.	Ulikuwa muda mbaya	இது தான் கதை.	มันเป็นช่วงเวลาที่เลวร้าย	یہ کہانی ہے۔
It was a bad time.	لـقـد كـان وقـتٌ سىء.	এটা একটা খারাপ সময় ছিল	这是一段不美好的时光。	C'était un mauvais moment.	Se te yon move tan.	Ia adalah masa yang buruk.	Foi uma hora ruim.	Плохое было время.	Fue inoportuno.	Njoo nyumbani kwangu	அது ஒரு மோசமான நேரம்.	มาที่บ้านของฉัน	یہ برا وقت تھا۔
Come to my house.	فـلـتـأتـي لـمـنـزلـي.	আমার বাড়িতে আসো	来我家里。	Viens chez moi.	Vin lakay mwen.	Datang ke rumah saya.	Venha para minha casa.	Приходи ко мне домой.	Ven a mi casa.	Baadhi yetu tunaenda	என் வீட்டிற்கு வாருங்கள்.	พวกเราบางคนกำลังไป	میرے گھر آئیں۔
Some of us are going.	بـعـضٌ مـنـا سـوف يـذهـب.	আমাদের মধ্যে কয়েকজন যাচ্ছে	我们当中有些人会去。	Certains d'entre nous y vont.	Kèk nan nou prale.	Sebilangan daripada kita akan pergi.	Alguns de nós estão indo.	Некоторые из нас уходят.	Algunos de nosotros vamos a ir.	Nimemaliza	நம்மில் சிலர் போகிறோம்.	ฉันเสร็จแล้ว	ہم میں سے کچھ جا رہے ہیں۔
I am done.	لـقـد أنـهـيـتُ ذلـك.	আমি শেষ	我完成了。	J'ai fini.	Mwen fini  	Saya telah siap.	Eu sou feito.	Я все.	Terminé.	Anataka nini (huyo / yule mwanaume)	நான் முடிந்தேன்.	เขาต้องการอะไร?	میرا کام ہو گیا۔
What does he want?	مـاذا يُـريـد؟	সে কি চায়?	他想要什么？	Qu'est-ce qu'il veut ?	Kisa l' vle?	Apa yang dia mahukan?	O que é que ele quer?	Что он хочет?	¿Qué es lo que él quiere?	Anataka nini (huyo / yule mwanaume)	அவருக்கு என்ன வேண்டும்?	เขาต้องการอะไร?	وہ کیا چاہتا ہے؟
Where are you from?	مـن أيـن أنـتَ؟	তুমি কোথা থেকে এসেছো?	你来自哪里？	D'où viens-tu ?	Ki bò/kote w' soti.	Awak dari mana	De onde é?	Откуда ты?	¿De dónde eres?	Simama mbele yangu	நீங்கள் எங்கிருந்து வருகிறீர்கள்?	ยืนต่อหน้าฉัน	آپ کہاں سے ہیں؟
Stand in front of me.	قـف أمـامـي.	আমার সামনে দাড়ান	站在我前面。	Mettez-vous en face de moi.	Kanpe devan m'.	Berdiri di hadapan saya.	Fique na minha frente.	Встань передо мной.	Párate frente a mí.	Nilikutana hapo zamani …	எனக்கு முன்னால் நில்லுங்கள்.	ฉันพบกันมานานแล้ว	میرے سامنے کھڑے ہو جائیں۔
We met a long time ago.	لـقـد تـقـابـلـنـا مـنـذ زمـنٍ طـويـل.	আমরা অনেক সময় আগে সাক্ষাৎ হয়েছে	我很久以前见过。	Nous nous sommes rencontrés il y a longtemps.	Nou te rankontre depi lontan.	Kami sudah lama tidak bertemu.	Nos conhecemos há muito tempo.	Мы познакомились очень давно.	Lo conocí hace un buen tiempo.	Alinikimbia	நான் நீண்ட காலத்திற்கு முன்பு சந்தித்தேன்.	เขาวิ่งหนีจากฉัน	میں کافی عرصہ پہلے ملا تھا۔
He ran away from me.	لـقـد هَـرِبَ مِـنـي.	সে আমার থেকে পালিয়ে চলে গেল	他从我身边逃开。	Il m'a fui.	Li te kouri lwen m'.	Dia melarikan diri dari saya.	Ele fugiu de mim.	Он убежал от меня.	Él huyó de mí.	Nilikuwa nataka kufanya	அவர் என்னிடமிருந்து விலகி ஓடிவிட்டார்.	ฉันกำลังจะทำมัน	وہ مجھ سے دُور بھاگ گیا۔
I was about to do it.	لـقـد كُـنـت عـلـى وشـكٍ أن أفـعـلـهـا.	আমি এটা প্রায় করতে ছিলাম 	我当时正准备做。	J'étais sur le point de le faire.	Mwen ta pral fè sa.	Saya hendak melakukannya.	Eu estava prestes a fazê-lo.	Я собирался это сделать.	Yo estaba a punto de hacerlo.	Ipo / iko juu yako	நான் அதை செய்ய இருந்தேன்.	มันอยู่เหนือคุณ	میں اسے تقریباً کر چکا تھا۔
It is right above you.	إنـهُ فـوقـكَ مُـبـاشـرةً.	এটা তোমার ঠিক উপরে	它在你的正上方。	Il est juste au-dessus de vous.	Li gen rezon sou ou.	Ia betul-betul di atas anda.	Está bem acima de você.	Это прямо над вами.	Está justo encima de ti.	Alitembea (mvulana) pamoja na kaka yake	அது சரியாக உங்களுக்கு மேலே உள்ளது.	เด็กชายเดินไปพร้อมกับพี่ชายของเขา	یہ آپ کے بالکل اوپر ہے۔
The boy walked along with his brother.	سار الصبي بـقـرب أخيه.	ছেলেটি তার ভাইয়ের সাথে চলে গেল	那个男孩和他的哥哥（弟弟）走在一起。	Le garçon marchait avec son frère.	Tigason an mache rive lwen avèk frè l' la.	Anak lelaki itu berjalan bersama dengan abangnya.	O garoto andou junto com seu irmão.	Мальчик шел вместе со своим братом.	El chico acompañó a su hermano.	Kulikua na matofaa (apple) mabaya kati yao.	அந்த சிறுவன் அவனுடைய சகோதரனுடன் இணைந்து நடந்தான்.	มีแอปเปิ้ลบางตัวที่ไม่ดี	لڑکا اپنے بھائی کے ساتھ چلتا تھا۔
There were some bad apples among them.	كان هناك بعض التفاح الفاسد بينهم.	তাদের মধ্যে কিছু খারাপ লোক ছিল	它们当中有一些是坏苹果。	Il y avait quelques pommes pourries parmi eux.	Te gen pòm pouri pami yo.	Terdapat sebilangan buah epal buruk di antaranya.	Havia algumas maçãs podres entre eles.	Среди них были и плохие яблоки.	Había algunas manzanas podridas entre ellos.	Watu walimzunguka (mwanaume)	அவற்றிற்கிடையில் சில கெட்ட ஆப்பிள்கள் இருந்தன.	ผู้คนรอบตัวเขา	ان میں سے کچھ سیب خراب تھے۔
People were all around him.	كـان الـنـاس جـمــيـعـهـم حـولَـهُ.	তার চারদিকে মানুষ ছিল	人们都围在他身边。	Les gens étaient tout autour de lui.	Tout moun te antoure l'.	Orang berada di sekelilingnya.	As pessoas estavam ao redor dele.	Вокруг него были люди.	La gente lo tenía completamente rodeado.	Alipita (mwanaume) mtaani akikimbia	அவரைச் சுற்றி மக்கள் இருந்தனர்.	เขาวิ่งข้ามถนน	لوگ اس کے چاروں اطراف تھے۔
He ran across the street.	ركـضَ عـبـر الـشـارع.	সে রাস্তা দিয়ে দৌড়ে চলে গেল	他跑到了马路对面。	Il a traversé la rue en courant.	Li te kouri janbe lari a.	Dia berlari di seberang jalan.	Ele correu para o outro lado da rua.	Он перебежал улицу.	Él cruzó corriendo la calle.	Atakuwa (mwanamke) tajiri	அவர் தெரு முழுவதும் ஓடினார்.	เธอจะรวย	وہ سڑک کے پار بھاگا۔
She will become rich.	إنـهـا سـوف تـصـبــح ثـريـة.	সে ধনি হয়ে যাবে	她会变得富有。	Elle va devenir riche.	Li pral vin rich.	Dia akan menjadi kaya.	Ela vai ficar rica.	Она станет богатой.	Ella se volverá rica.	Nataka kwenda kwa sababu atakuwepo (mwanamke)	அவள் பணக்காரியாக மாறுவாள்.	ฉันอยากไปเพราะเธอจะอยู่ที่นั่น	وہ امیر ہو جائے گی۔
I want to go because she will be there.	أُريـد أن أذهـب لأنـهـا سـوف تـكون هـنـاك.	আমি বাড়ি যেতে চাই কারণ সে সেখানে থাকবে	我想去，因为她会在那里。	Je veux y aller parce qu'elle sera là.	Mwen vle ale paske l'ap la.	Saya mahu pergi kerana dia akan berada di sana.	Quero ir porque ela estará lá.	Я хочу пойти, потому что она будет там.	Yo quiero ir porque ella va a estar allí.	Unakuja kwenye sherehe ?	அவள் அங்கு இருப்பதால் நான் அங்கு போக விரும்புகிறேன்.	คุณมางานปาร์ตี้หรือไม่?	میں جانا چاہتا ہوں کیونکہ وہ وہاں ہوگی۔
Are you coming to the party?	هـل سـوف تـأتـي إلـى الـحـفـلـة؟	তুমি কি পার্টিতে আসতেছ?	你会来参加派对吗？	Tu viens à la fête ?	W'ap vini nan fèt la?	Adakah anda datang ke pesta?	Você vai à festa?	Ты идешь на вечеринку?	¿Vas a venir a la fiesta?	Ni kawaida kuleta zawadi	நீங்கள் விருந்துக்கு வருகிறீர்களா?	เป็นเรื่องปกติที่จะนำของขวัญ	کیا آپ دعوت میں آ رہے ہیں؟
It is common to bring a gift.	إنـهُ مـن الـمُـعـتـاد أن تـجـلـب هـديـة.	উপহার আনা খুবই সাধারণ	带礼物是常见的事。	Il est courant d'apporter un cadeau.	Se nonmal pou pote kado.	Adalah biasa untuk membawa hadiah.	É comum trazer um presente.	Обычно приносят подарок.	Lo usual es traer un regalito.	Sherehe haikamiliki bila keki	அன்பளிப்பு எடுத்து செல்வது வழக்கம்.	ไม่มีปาร์ตี้จะสมบูรณ์แบบหากไม่มีเค้ก	تحفہ لانا عام بات ہے۔
